City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Vostok,RU,46.4856,135.8833,7.87,84,99,1.9,overcast clouds
191,Sibiti,CG,-3.6819,13.3499,29.09,49,100,1.11,overcast clouds
192,Groningen,NL,53.25,6.75,16.16,66,93,3.09,overcast clouds
193,Nanortalik,GL,60.1432,-45.2371,12.08,79,81,9.52,broken clouds
194,Labuhan,ID,-6.8844,112.2051,27.11,75,100,2.86,light rain
195,Mehamn,NO,71.0357,27.8492,9.97,62,0,5.66,clear sky
196,Zavitinsk,RU,50.1167,129.45,11.48,79,100,2.2,moderate rain
197,Sabang,ID,5.8933,95.3214,27.87,78,100,7.0,overcast clouds
198,Shahdadpur,PK,25.9241,68.62,28.65,61,8,7.16,clear sky
199,Dingle,PH,10.9995,122.6711,24.72,92,100,4.96,light rain
200,Simao,CN,22.7886,100.9748,17.26,96,68,0.63,broken clouds
201,Itaobim,BR,-16.5667,-41.8333,23.34,67,99,2.55,overcast clouds
202,Henties Bay,NA,-22.116,14.2845,14.57,76,68,4.79,broken clouds
203,Sao Borja,BR,-28.6606,-56.0044,20.53,62,100,3.61,overcast clouds
204,Barentu,ER,15.1139,37.5928,28.65,34,39,3.53,scattered clouds
205,Nioro,GM,13.35,-15.75,29.23,69,90,3.28,overcast clouds
206,Aripuana,BR,-9.1667,-60.6333,40.14,21,0,0.61,clear sky
207,Cockburn Town,TC,21.4612,-71.1419,28.33,78,92,7.34,overcast clouds
208,Onega,RU,63.9061,38.1404,5.95,90,100,3.75,overcast clouds
209,Ljubovija,RS,44.1894,19.3767,16.4,63,100,0.96,overcast clouds
210,Kauhajoki,FI,62.4333,22.1833,9.99,81,99,2.18,overcast clouds
211,Mubende,UG,0.5606,31.39,17.67,92,81,0.37,light rain
212,Faanui,PF,-16.4833,-151.75,25.11,77,27,8.7,light rain
213,Hambantota,LK,6.1241,81.1185,26.19,94,40,2.57,scattered clouds
214,Kadoma,JP,34.7333,135.5833,22.32,67,39,1.54,scattered clouds
215,San Matias,BO,-16.3667,-58.4,39.55,23,36,3.02,scattered clouds
216,Yatou,CN,37.15,122.3833,16.64,83,79,1.93,broken clouds
217,Port Elizabeth,ZA,-33.918,25.5701,20.05,86,99,9.39,overcast clouds
218,Shimoda,JP,34.6667,138.95,19.5,83,64,2.88,broken clouds
219,Itarema,BR,-2.9248,-39.9167,30.72,55,13,8.79,few clouds
220,Nome,US,64.5011,-165.4064,6.04,81,100,3.6,overcast clouds
221,Kawalu,ID,-7.3817,108.2082,22.09,98,62,0.49,broken clouds
222,Cherskiy,RU,68.75,161.3,-2.48,81,97,2.23,overcast clouds
223,Husavik,IS,66.0449,-17.3389,2.88,94,100,17.33,overcast clouds
224,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,29.05,19,75,2.25,broken clouds
225,Kahului,US,20.8947,-156.47,24.91,68,0,1.54,clear sky
226,Yilan,TW,24.757,121.753,26.06,98,97,1.59,light rain
227,La Asuncion,VE,11.0333,-63.8628,34.85,55,15,5.66,few clouds
228,Boueni,YT,-12.9025,45.0761,24.99,67,22,1.36,few clouds
229,Talnakh,RU,69.4865,88.3972,-3.77,78,13,1.64,few clouds
230,Estepona,ES,36.4276,-5.1459,25.88,49,94,5.95,overcast clouds
231,Guerrero Negro,MX,27.9769,-114.0611,24.07,76,1,3.99,clear sky
232,Chimbote,PE,-9.0853,-78.5783,18.38,75,88,5.11,overcast clouds
233,Saint-Philippe,RE,-21.3585,55.7679,21.77,82,34,5.93,scattered clouds
234,Parksville,CA,49.3163,-124.3195,17.74,70,19,3.6,few clouds
235,Venado Tuerto,AR,-33.7456,-61.9688,22.65,38,100,3.03,overcast clouds
236,Chase,CA,50.8165,-119.6857,11.75,62,9,0.9,clear sky
237,Yerbogachen,RU,61.2767,108.0108,-5.43,98,90,0.92,overcast clouds
238,Loding,NO,67.3,14.75,14.35,56,0,7.72,clear sky
239,Beitbridge,ZW,-22.2167,30.0,30.7,17,0,4.28,clear sky
240,Norman Wells,CA,65.282,-126.8329,-4.98,93,40,2.06,scattered clouds
241,Khani,GE,41.9563,42.9566,10.76,89,12,1.57,few clouds
242,Leningradskiy,RU,69.3833,178.4167,-0.56,95,100,3.17,light snow
243,Upernavik,GL,72.7868,-56.1549,0.54,74,100,5.08,overcast clouds
244,Yurginskoye,RU,56.8189,67.3921,6.61,66,100,4.87,overcast clouds
245,Dabola,GN,10.75,-11.1167,28.28,71,95,1.71,light rain
246,Non Sang,TH,16.8687,102.5664,22.8,96,72,1.65,broken clouds
247,Haikou,CN,20.0458,110.3417,26.07,89,0,2.0,clear sky
248,Quthing,LS,-30.4,27.7003,21.07,51,74,2.68,broken clouds
249,Timra,SE,62.487,17.3257,13.15,87,20,4.12,few clouds
250,Dong Hoi,VN,17.4833,106.6,25.28,85,20,0.91,few clouds
251,Kotka,FI,60.4664,26.9458,7.59,87,100,4.76,light rain
252,Okha,RU,53.5739,142.9478,6.5,85,100,4.65,overcast clouds
253,Sechura,PE,-5.5569,-80.8222,21.75,61,98,5.96,overcast clouds
254,Saint Anthony,US,45.0205,-93.218,17.66,73,20,6.17,few clouds
255,Cabo San Lucas,MX,22.8909,-109.9124,31.4,70,95,1.87,overcast clouds
256,Rio Grande,BR,-32.035,-52.0986,22.06,78,45,7.48,scattered clouds
257,Kudahuvadhoo,MV,2.6708,72.8944,27.53,78,100,5.23,overcast clouds
258,Haines Junction,CA,60.7522,-137.5108,-1.03,93,100,0.51,overcast clouds
259,Pacifica,US,37.6138,-122.4869,17.45,93,75,3.09,mist
260,Faya,SA,18.3851,42.4509,25.06,27,92,5.46,overcast clouds
261,Monte Patria,CL,-30.6919,-70.9467,17.66,39,87,2.16,overcast clouds
262,Ambon,ID,-3.6954,128.1814,27.08,78,20,2.06,few clouds
263,Mobaye,CF,4.319,21.1786,25.79,88,37,1.34,light rain
264,Jaciara,BR,-15.9653,-54.9683,37.89,23,85,3.16,overcast clouds
265,Kirakira,SB,-10.4544,161.9205,25.22,84,71,1.78,broken clouds
266,Eureka,US,40.8021,-124.1637,11.34,53,0,0.36,clear sky
267,Isangel,VU,-19.55,169.2667,24.06,94,40,1.03,scattered clouds
268,Storforshei,NO,66.4043,14.5233,13.7,58,40,6.17,scattered clouds
269,Mandello Del Lario,IT,45.9192,9.3193,19.34,79,93,0.63,overcast clouds
270,Rio Muerto,MX,27.4167,-110.2333,30.73,61,0,1.81,clear sky
271,Amapa,BR,1.0,-52.0,36.09,33,14,1.83,few clouds
272,Fairbanks,US,64.8378,-147.7164,4.61,87,0,2.57,clear sky
273,Aklavik,CA,68.2191,-135.0107,2.0,93,100,1.54,light intensity drizzle
274,Bourg-En-Bresse,FR,46.1667,5.1667,18.5,73,85,1.58,overcast clouds
275,Elko,US,41.0002,-115.5012,6.01,21,0,1.31,clear sky
276,Mitsamiouli,KM,-11.3847,43.2844,26.16,78,75,3.09,broken clouds
277,Pizarro,CO,4.9533,-77.366,28.12,73,47,2.91,scattered clouds
278,Yeppoon,AU,-23.1333,150.7333,17.88,88,0,0.93,clear sky
279,Fairview,US,40.8126,-73.999,21.83,65,40,6.69,scattered clouds
280,Novonukutskiy,RU,53.7002,102.7117,1.04,90,100,1.7,overcast clouds
281,Viedma,AR,-40.8135,-62.9967,17.77,45,99,6.39,moderate rain
282,Vredendal,ZA,-31.6683,18.5012,15.76,63,100,5.15,overcast clouds
