City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Vrangel,RU,15.13,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
112,Torbay,CA,15.15,shower rain,47.6666,-52.7314,Gallows Cove
114,Port Lincoln,AU,13.29,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
116,Byron Bay,AU,14.97,scattered clouds,-28.65,153.6167,Backpackers Inn
117,Pacific Grove,US,15.24,mist,36.6177,-121.9166,Lovers Point Inn
118,Huarmey,PE,19.47,broken clouds,-10.0681,-78.1522,Hotel Miramar
121,Taltal,CL,17.79,scattered clouds,-25.4,-70.4833,Residencial Karime
123,New Norfolk,AU,8.73,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
127,Paamiut,GL,6.11,moderate rain,61.994,-49.6678,Pistut
132,Saint-Francois,FR,13.71,overcast clouds,46.4154,3.9054,Maison Vin d'Hus
133,Ancud,CL,9.57,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
134,Flinders,AU,11.21,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
139,Oxford,GB,16.77,few clouds,51.7522,-1.256,Malmaison Oxford
141,Castro,BR,15.29,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
143,Thompson,CA,7.09,broken clouds,55.7435,-97.8558,Burntwood Hotel
144,Tasiilaq,GL,11.09,few clouds,65.6145,-37.6368,The Red House
146,Coihaique,CL,10.97,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
148,San Vicente,AR,13.49,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
149,Movileni,RO,19.69,scattered clouds,44.3667,24.65,La Bercani
151,Nikolskoye,RU,8.94,overcast clouds,59.7035,30.7861,Tourist House - Sablino
153,Ballina,AU,15.01,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
158,Namibe,AO,19.52,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
162,Monticello,US,16.85,clear sky,45.3055,-93.7941,Super 8 by Wyndham Monticello
165,Lebu,CL,11.51,clear sky,-37.6167,-73.65,Hostal Las Lilas
167,Itapetinga,BR,19.99,overcast clouds,-15.2489,-40.2478,Hotel Del Rey
168,Chapais,CA,12.88,broken clouds,49.7834,-74.8492,Hôtel Opémiska
172,Port Augusta,AU,13.81,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
173,Longyearbyen,SJ,6.91,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
174,Mar Del Plata,AR,15.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
178,Abay,KZ,14.21,overcast clouds,49.6311,72.8539,Guest House on Abaya 144
179,Hasaki,JP,19.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
182,Vestmannaeyjar,IS,9.55,clear sky,63.4427,-20.2734,Glamping & Camping
187,Chalus,IR,18.7,light rain,36.655,51.4204,Rama Spa
189,Port Hardy,CA,10.1,fog,50.6996,-127.4199,Airport Inn-Port Hardy
192,Groningen,NL,16.16,overcast clouds,53.25,6.75,Bed&Breakfast Lageland
193,Nanortalik,GL,12.08,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
195,Mehamn,NO,9.97,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
196,Zavitinsk,RU,11.48,moderate rain,50.1167,129.45,Lyuks
200,Simao,CN,17.26,broken clouds,22.7886,100.9748,Changyu Hotel
208,Onega,RU,5.95,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
209,Ljubovija,RS,16.4,overcast clouds,44.1894,19.3767,Jasen
210,Kauhajoki,FI,9.99,overcast clouds,62.4333,22.1833,Helmin Kortteeri / Kahvila Helmi Saarikoski Oy
211,Mubende,UG,17.67,light rain,0.5606,31.39,Nakayima Hotel
216,Yatou,CN,16.64,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
218,Shimoda,JP,19.5,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
220,Nome,US,6.04,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
